employee_id,department_key,salary_key,tenure_bucket_key,performance_cluster_key,exit_archetype_key,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,workload_intensity_idx,is_overworked,is_underutilized,hours_per_project,eval_satisfaction_gap,is_unhappy_star,is_comfortable_underperformer,is_critical_tenure_window,stagnation_flag,risk_score_raw,low_exit_barrier_flag,satisfaction_x_evaluation,is_project_extreme,is_hours_ceiling,churn_probability,risk_band,is_flight_risk,is_high_performer,risk_quadrant,behavior_cluster,shap_main_driver_feature,shap_main_driver_value,shap_driver_direction,simulated_monthly_salary_eur,simulated_annual_salary_eur,simulated_replacement_cost_pct,simulated_replacement_cost_eur,simulated_retention_action_cost_eur
27,8,1,3,3,3,0.82,0.87,4,239,5,0,1,0,0.6711981566820276,0,0,59.75,0.05,0,0,1,1,0.5733594470046083,1,0.7133999999999999,0,0,0.993727445602417,Critical (75-100%),1,1,Q1 - Critical Risk / High Performer,Standard / Balanced,risk_score_raw,1.5653645992279053,Increases exit risk,2932.01,35184.15,0.75,26388.11,4222.1
28,8,1,2,4,2,0.4,0.49,2,135,3,0,1,0,0.3605990783410138,0,1,67.5,0.0899999999999999,0,0,0,0,0.3481797235023041,0,0.196,1,0,0.9972098469734192,Critical (75-100%),1,0,Q2 - High Risk / Standard Performer,Underutilised (Idle),is_project_extreme,2.0485992431640625,Increases exit risk,2807.67,33692.02,0.55,18530.61,4043.04
29,3,1,2,4,2,0.41,0.46,2,128,3,0,1,0,0.3493087557603687,0,1,64.0,0.05,0,0,0,0,0.3407926267281106,0,0.1886,1,0,0.9985008239746094,Critical (75-100%),1,0,Q2 - High Risk / Standard Performer,Underutilised (Idle),is_project_extreme,2.33648681640625,Increases exit risk,2999.08,35988.97,0.55,19793.93,4318.68
30,3,1,2,4,2,0.38,0.5,2,132,3,0,1,0,0.3557603686635944,0,1,66.0,0.12,0,0,0,0,0.3547281105990783,0,0.19,1,0,0.9966545104980468,Critical (75-100%),1,0,Q2 - High Risk / Standard Performer,Underutilised (Idle),is_project_extreme,2.04925537109375,Increases exit risk,3002.26,36027.09,0.55,19814.9,4323.25
31,3,1,3,2,1,0.09,0.62,6,294,4,0,1,0,0.9027649769585252,1,0,49.0,0.53,0,0,1,1,0.9348294930875576,1,0.0557999999999999,1,1,0.9996079802513124,Critical (75-100%),1,0,Q2 - High Risk / Standard Performer,Overworked (Burnout),satisfaction_level,3.903789520263672,Increases exit risk,3359.08,40308.9,0.55,22169.9,4837.07
32,4,1,2,4,2,0.45,0.57,2,134,3,0,1,0,0.3589861751152073,0,1,67.0,0.1199999999999999,0,0,0,0,0.3276958525345622,0,0.2565,1,0,0.9950873255729676,Critical (75-100%),1,0,Q2 - High Risk / Standard Performer,Underutilised (Idle),is_project_extreme,2.0549771785736084,Increases exit risk,2563.89,30766.69,0.55,16921.68,3692.0
33,4,1,2,4,2,0.4,0.51,2,145,3,0,1,0,0.3767281105990783,0,1,72.5,0.1099999999999999,0,0,0,0,0.3530184331797235,0,0.204,1,0,0.995688498020172,Critical (75-100%),1,0,Q2 - High Risk / Standard Performer,Underutilised (Idle),is_project_extreme,1.9899942874908447,Increases exit risk,2547.2,30566.44,0.55,16811.54,3667.97
34,4,1,2,4,2,0.45,0.55,2,140,3,0,1,0,0.368663594470046,0,1,70.0,0.1,0,0,0,0,0.3305990783410138,0,0.2475,1,0,0.9949854612350464,Critical (75-100%),1,0,Q2 - High Risk / Standard Performer,Underutilised (Idle),is_project_extreme,2.191606283187866,Increases exit risk,2499.66,29995.91,0.55,16497.75,3599.51
35,4,1,3,3,3,0.84,0.87,4,246,6,0,1,0,0.6824884792626729,0,0,61.5,0.03,0,0,1,1,0.5687465437788018,0,0.7308,0,0,0.9899535775184632,Critical (75-100%),1,1,Q1 - Critical Risk / High Performer,Standard / Balanced,risk_score_raw,1.3095042705535889,Increases exit risk,2864.72,34376.59,0.75,25782.44,4125.19
36,10,1,3,2,1,0.1,0.94,6,255,4,0,1,0,0.8398617511520737,1,0,42.5,0.84,1,0,1,1,0.9119585253456222,1,0.094,1,0,0.9986388087272644,Critical (75-100%),1,1,Q1 - Critical Risk / High Performer,Overworked (Burnout),satisfaction_level,4.391321182250977,Increases exit risk,3761.97,45143.64,0.75,33857.73,5417.24
37,10,1,2,4,2,0.38,0.46,2,137,3,0,1,0,0.3638248847926267,0,1,68.5,0.08,0,0,0,0,0.357147465437788,0,0.1748,1,0,0.9969868063926696,Critical (75-100%),1,0,Q2 - High Risk / Standard Performer,Underutilised (Idle),is_project_extreme,2.0403711795806885,Increases exit risk,3440.46,41285.55,0.55,22707.05,4954.27
38,10,1,2,4,2,0.45,0.5,2,126,3,0,1,0,0.3460829493087557,0,1,63.0,0.0499999999999999,0,0,0,0,0.3238248847926267,0,0.225,1,0,0.9877521991729736,Critical (75-100%),1,0,Q2 - High Risk / Standard Performer,Underutilised (Idle),is_project_extreme,2.0716350078582764,Increases exit risk,3289.52,39474.25,0.55,21710.84,4736.91
39,10,1,3,2,1,0.11,0.89,6,306,4,0,1,0,0.9221198156682028,1,0,51.0,0.78,1,0,1,1,0.9326359447004609,1,0.0979,1,1,0.9998180270195008,Critical (75-100%),1,1,Q1 - Critical Risk / High Performer,Overworked (Burnout),satisfaction_level,4.089529514312744,Increases exit risk,3349.01,40188.15,0.75,30141.11,4822.58
40,10,1,2,3,2,0.41,0.54,2,152,3,0,1,0,0.3880184331797235,0,0,76.0,0.13,0,0,0,0,0.3524055299539171,0,0.2214,1,0,0.995557963848114,Critical (75-100%),1,0,Q2 - High Risk / Standard Performer,Standard / Balanced,is_project_extreme,1.9765832424163816,Increases exit risk,3599.37,43192.46,0.55,23755.85,5183.1
41,10,1,3,3,3,0.87,0.88,5,269,5,0,1,0,0.7910138248847927,0,0,53.8,0.01,0,0,1,1,0.5893041474654378,1,0.7656,0,0,0.990293264389038,Critical (75-100%),1,1,Q1 - Critical Risk / High Performer,Standard / Balanced,risk_score_raw,1.4630820751190186,Increases exit risk,3742.23,44906.73,0.75,33680.05,5388.81
42,10,1,2,3,2,0.45,0.48,2,158,3,0,1,0,0.3976958525345622,0,0,79.0,0.0299999999999999,0,0,0,0,0.3393087557603687,0,0.216,1,0,0.996980607509613,Critical (75-100%),1,0,Q2 - High Risk / Standard Performer,Standard / Balanced,is_project_extreme,2.09470796585083,Increases exit risk,3577.04,42924.49,0.55,23608.47,5150.94
43,10,1,2,4,2,0.4,0.46,2,127,3,0,1,0,0.3476958525345622,0,1,63.5,0.06,0,0,0,0,0.3443087557603687,0,0.184,1,0,0.9974064230918884,Critical (75-100%),1,0,Q2 - High Risk / Standard Performer,Underutilised (Idle),is_project_extreme,2.04604172706604,Increases exit risk,3325.82,39909.86,0.55,21950.42,4789.18
44,10,1,3,2,1,0.1,0.8,7,281,4,0,1,0,0.9532258064516128,1,0,40.142857142857146,0.7000000000000001,1,0,1,1,0.945967741935484,1,0.08,1,1,0.9995972514152528,Critical (75-100%),1,1,Q1 - Critical Risk / High Performer,Overworked (Burnout),satisfaction_level,4.136229038238525,Increases exit risk,3572.38,42868.62,0.75,32151.47,5144.23
45,10,1,3,2,1,0.09,0.89,6,276,4,0,1,0,0.8737327188940092,1,0,46.0,0.8,1,0,1,1,0.9261198156682028,1,0.0801,1,0,0.9989401698112488,Critical (75-100%),1,1,Q1 - Critical Risk / High Performer,Overworked (Burnout),satisfaction_level,4.444974899291992,Increases exit risk,3547.97,42575.69,0.75,31931.77,5109.08
46,10,1,3,3,3,0.84,0.74,3,182,4,0,1,0,0.5078341013824884,0,0,60.66666666666666,-0.0999999999999999,0,0,1,1,0.5163502304147466,0,0.6215999999999999,0,0,0.5345049500465393,High (50-75%),1,1,Q1 - Critical Risk / High Performer,Standard / Balanced,is_project_extreme,-0.5226736664772034,Reduces exit risk,3569.54,42834.45,0.75,32125.84,5140.13
47,9,1,2,4,2,0.4,0.55,2,147,3,0,1,0,0.3799539170506912,0,1,73.5,0.15,0,0,0,0,0.3539861751152073,0,0.22,1,0,0.9956667423248292,Critical (75-100%),1,0,Q2 - High Risk / Standard Performer,Underutilised (Idle),is_project_extreme,2.0012056827545166,Increases exit risk,2391.67,28700.0,0.55,15785.0,3444.0
48,9,1,3,3,2,0.57,0.7,3,273,6,0,1,0,0.6546082949308756,0,0,91.0,0.13,0,0,1,1,0.6683824884792627,1,0.3989999999999999,0,0,0.538520097732544,High (50-75%),1,1,Q1 - Critical Risk / High Performer,Standard / Balanced,risk_score_raw,0.8052446246147156,Increases exit risk,2391.67,28700.0,0.75,21525.0,3444.0
49,9,1,2,4,2,0.4,0.54,2,148,3,0,1,0,0.3815668202764977,0,1,74.0,0.14,0,0,0,0,0.3544700460829493,0,0.216,1,0,0.9968388080596924,Critical (75-100%),1,0,Q2 - High Risk / Standard Performer,Underutilised (Idle),is_project_extreme,2.3689212799072266,Increases exit risk,2391.67,28700.0,0.55,15785.0,3444.0
50,9,1,2,4,2,0.43,0.47,2,147,3,0,1,0,0.3799539170506912,0,1,73.5,0.0399999999999999,0,0,0,0,0.3419861751152074,0,0.2020999999999999,1,0,0.9975469708442688,Critical (75-100%),1,0,Q2 - High Risk / Standard Performer,Underutilised (Idle),is_project_extreme,2.189581632614136,Increases exit risk,2391.67,28700.0,0.55,15785.0,3444.0
51,9,1,1,5,1,0.13,0.78,6,152,2,0,1,0,0.6737327188940092,0,0,25.33333333333333,0.65,1,0,0,0,0.5501198156682028,0,0.1014,1,0,0.8246474862098694,Critical (75-100%),1,1,Q1 - Critical Risk / High Performer,Unhappy Star,is_project_extreme,0.9874567985534668,Increases exit risk,2391.67,28700.0,0.75,21525.0,3444.0
52,9,1,2,4,2,0.44,0.55,2,135,3,0,1,0,0.3605990783410138,0,1,67.5,0.11,0,0,0,0,0.3321797235023042,0,0.242,1,0,0.996743381023407,Critical (75-100%),1,0,Q2 - High Risk / Standard Performer,Underutilised (Idle),is_project_extreme,2.115727663040161,Increases exit risk,2391.67,28700.0,0.55,15785.0,3444.0
53,9,1,2,4,2,0.38,0.55,2,134,3,0,1,0,0.3589861751152073,0,1,67.0,0.17,0,0,0,0,0.3556958525345622,0,0.209,1,0,0.9961299896240234,Critical (75-100%),1,0,Q2 - High Risk / Standard Performer,Underutilised (Idle),is_project_extreme,2.050475835800171,Increases exit risk,2391.67,28700.0,0.55,15785.0,3444.0
54,9,1,2,4,2,0.39,0.54,2,132,3,0,1,0,0.3557603686635944,0,1,66.0,0.15,0,0,0,0,0.3507281105990783,0,0.2106,1,0,0.9975013136863708,Critical (75-100%),1,0,Q2 - High Risk / Standard Performer,Underutilised (Idle),is_project_extreme,2.0787429809570312,Increases exit risk,2391.67,28700.0,0.55,15785.0,3444.0
55,9,1,3,2,1,0.1,0.92,7,307,4,0,1,0,0.9951612903225806,1,0,43.85714285714285,0.8200000000000001,1,0,1,1,0.9585483870967744,1,0.092,1,1,0.999904990196228,Critical (75-100%),1,1,Q1 - Critical Risk / High Performer,Overworked (Burnout),satisfaction_level,3.7377870082855225,Increases exit risk,2391.67,28700.0,0.75,21525.0,3444.0
56,9,1,2,4,2,0.37,0.46,2,140,3,0,1,0,0.368663594470046,0,1,70.0,0.09,0,0,0,0,0.3625990783410138,0,0.1702,1,0,0.9960525035858154,Critical (75-100%),1,0,Q2 - High Risk / Standard Performer,Underutilised (Idle),is_project_extreme,2.000274658203125,Increases exit risk,2391.67,28700.0,0.55,15785.0,3444.0
57,9,1,3,2,1,0.11,0.94,7,255,4,0,1,0,0.9112903225806452,1,0,36.42857142857143,0.83,1,0,1,1,0.9293870967741936,1,0.1033999999999999,1,0,0.999415636062622,Critical (75-100%),1,1,Q1 - Critical Risk / High Performer,Overworked (Burnout),satisfaction_level,4.206616401672363,Increases exit risk,2391.67,28700.0,0.75,21525.0,3444.0
58,10,1,3,2,1,0.1,0.81,6,309,4,0,1,0,0.926958525345622,1,0,51.5,0.7100000000000001,1,0,1,1,0.9380875576036868,1,0.081,1,1,0.9998005032539368,Critical (75-100%),1,1,Q1 - Critical Risk / High Performer,Overworked (Burnout),satisfaction_level,4.045181751251221,Increases exit risk,3839.33,46072.02,0.75,34554.02,5528.64
59,10,1,2,4,2,0.38,0.54,2,128,3,0,1,0,0.3493087557603687,0,1,64.0,0.16,0,0,0,0,0.3527926267281106,0,0.2052,1,0,0.9980469942092896,Critical (75-100%),1,0,Q2 - High Risk / Standard Performer,Underutilised (Idle),is_project_extreme,2.299524307250977,Increases exit risk,3284.18,39410.22,0.55,21675.62,4729.23
60,10,1,3,3,3,0.85,1.0,4,225,5,0,1,0,0.6486175115207373,0,0,56.25,0.15,0,0,1,1,0.5545852534562212,0,0.85,0,0,0.9957749247550964,Critical (75-100%),1,1,Q1 - Critical Risk / High Performer,Standard / Balanced,time_spend_company,1.4781721830368042,Increases exit risk,3790.6,45487.15,0.75,34115.36,5458.46
61,5,2,3,3,3,0.85,0.91,5,226,5,0,1,0,0.7216589861751153,0,0,45.2,0.06,0,0,1,1,0.5764976958525346,0,0.7735,0,0,0.9803865551948548,Critical (75-100%),1,1,Q1 - Critical Risk / High Performer,Standard / Balanced,risk_score_raw,1.5957989692687988,Increases exit risk,7757.86,93094.33,1.15,107058.48,11171.32
62,1,2,3,2,1,0.11,0.93,7,308,4,0,1,0,0.9967741935483873,1,0,44.0,0.8200000000000001,1,0,1,1,0.9550322580645162,0,0.1023,1,1,0.9999455213546752,Critical (75-100%),1,1,Q1 - Critical Risk / High Performer,Overworked (Burnout),satisfaction_level,3.786484479904175,Increases exit risk,6302.76,75633.13,1.15,86978.1,9075.98
63,1,2,3,5,1,0.1,0.95,6,244,5,0,1,0,0.8221198156682028,0,0,40.66666666666666,0.85,1,0,1,1,0.9066359447004608,0,0.095,1,0,0.9980729818344116,Critical (75-100%),1,1,Q1 - Critical Risk / High Performer,Unhappy Star,satisfaction_level,4.430050849914551,Increases exit risk,6603.86,79246.37,1.15,91133.33,9509.56
64,1,2,2,4,2,0.36,0.56,2,132,3,0,1,0,0.3557603686635944,0,1,66.0,0.2,0,0,0,0,0.3627281105990783,0,0.2016,1,0,0.9967846870422364,Critical (75-100%),1,0,Q2 - High Risk / Standard Performer,Underutilised (Idle),is_project_extreme,2.1010971069335938,Increases exit risk,6546.44,78557.23,0.95,74629.37,9426.87
65,1,2,3,2,1,0.11,0.94,6,286,4,0,1,0,0.8898617511520737,1,0,47.66666666666666,0.83,1,0,1,1,0.9229585253456222,0,0.1033999999999999,1,1,0.9987974166870116,Critical (75-100%),1,1,Q1 - Critical Risk / High Performer,Overworked (Burnout),satisfaction_level,4.533064842224121,Increases exit risk,6706.48,80477.72,1.15,92549.38,9657.33
66,1,2,3,3,3,0.81,0.7,6,161,4,0,1,0,0.6882488479262673,0,0,26.83333333333333,-0.1100000000000001,0,0,1,1,0.5824746543778802,0,0.567,1,0,0.7549926042556763,Critical (75-100%),1,1,Q1 - Critical Risk / High Performer,Standard / Balanced,is_project_extreme,0.7299606800079346,Increases exit risk,6738.17,80858.02,1.15,92986.72,9702.96
67,7,2,2,3,2,0.43,0.54,2,153,3,0,1,0,0.3896313364055299,0,0,76.5,0.11,0,0,0,0,0.344889400921659,0,0.2322,1,0,0.996020495891571,Critical (75-100%),1,0,Q2 - High Risk / Standard Performer,Standard / Balanced,is_project_extreme,2.049890518188477,Increases exit risk,5503.72,66044.58,0.95,62742.35,7925.35
68,7,2,3,3,3,0.9,0.98,4,264,6,0,1,0,0.7115207373271889,0,0,66.0,0.0799999999999999,0,0,1,1,0.5534562211981566,0,0.882,0,0,0.9797321557998656,Critical (75-100%),1,1,Q1 - Critical Risk / High Performer,Standard / Balanced,satisfaction_x_evaluation,1.3669394254684448,Increases exit risk,5745.4,68944.82,1.15,79286.54,8273.38
69,7,2,3,3,3,0.76,0.86,5,223,5,1,1,0,0.7168202764976959,0,0,44.6,0.0999999999999999,0,0,1,1,0.6110460829493087,0,0.6536,0,0,0.9417293071746826,Critical (75-100%),1,1,Q1 - Critical Risk / High Performer,Standard / Balanced,time_spend_company,1.6754231452941897,Increases exit risk,6112.6,73351.14,1.15,84353.81,8802.14
70,7,2,2,4,2,0.43,0.5,2,135,3,0,1,0,0.3605990783410138,0,1,67.5,0.07,0,0,0,0,0.3361797235023042,0,0.215,1,0,0.9970394968986512,Critical (75-100%),1,0,Q2 - High Risk / Standard Performer,Underutilised (Idle),is_project_extreme,2.176270008087158,Increases exit risk,5556.81,66681.72,0.95,63347.63,8001.81
71,1,2,2,3,3,0.74,0.99,2,277,3,0,1,0,0.5896313364055299,0,0,138.5,0.25,0,0,0,0,0.280889400921659,0,0.7326,1,0,0.7598477005958557,Critical (75-100%),1,1,Q1 - Critical Risk / High Performer,Standard / Balanced,is_project_extreme,1.2266252040863037,Increases exit risk,5839.95,70079.44,1.15,80591.36,8409.53
72,7,2,3,5,1,0.09,0.77,5,275,4,0,1,0,0.8006912442396313,0,0,55.0,0.68,1,0,1,1,0.9042073732718896,0,0.0693,0,0,0.993846595287323,Critical (75-100%),1,1,Q1 - Critical Risk / High Performer,Unhappy Star,satisfaction_level,5.520444393157959,Increases exit risk,5328.57,63942.85,1.15,73534.28,7673.14
73,7,3,2,4,2,0.45,0.49,2,149,3,0,1,0,0.3831797235023041,0,1,74.5,0.0399999999999999,0,0,0,0,0.3349539170506913,0,0.2205,1,0,0.993401825428009,Critical (75-100%),1,0,Q2 - High Risk / Standard Performer,Underutilised (Idle),is_project_extreme,2.0939271450042725,Increases exit risk,8497.95,101975.43,1.6,163160.69,12237.05
