id_colaborador,chave_departamento,chave_faixa_salarial,chave_tempo_casa,chave_cluster_comportamental,chave_arquetipo_saida,nivel_satisfacao,ultima_avaliacao,numero_projetos,horas_mensais_medias,tempo_de_casa_anos,sofreu_acidente_trabalho,saiu_da_empresa,promovido_ultimos_5_anos,indice_intensidade_carga,flag_sobrecarregado,flag_subutilizado,horas_por_projeto,gap_avaliacao_satisfacao,flag_estrela_insatisfeita,flag_confortavel_baixo_desempenho,flag_janela_critica_carreira,flag_estagnacao_sem_promocao,score_risco_bruto,flag_baixa_barreira_saida,interacao_satisfacao_avaliacao,flag_projeto_extremo,flag_teto_horas_criticas,probabilidade_saida,faixa_de_risco,flag_risco_iminente,flag_alto_desempenho,quadrante_risco,cluster_comportamental,fator_principal_shap,valor_shap_fator_principal,direcao_fator_shap,salario_mensal_simulado_brl,salario_anual_simulado_brl,percentual_custo_reposicao_simulado,custo_reposicao_simulado_brl,custo_acao_retencao_simulado_brl
11,8,1,2,4,2,0.45,0.54,2,135,3,0,1,0,0.3605990783410138,0,1,67.5,0.09,0,0,0,0,0.3281797235023042,0,0.243,1,0,0.9969224333763124,Crítico (75-100%),1,0,Q2 - Risco Alto / Desempenho Regular,Subutilizado (Ocioso),Projetos em zona extrema (H7),2.0990991592407227,Aumenta risco de saída,4678.13,62359.46,0.55,34297.7,7483.14
12,8,1,3,2,1,0.11,0.81,6,305,4,0,1,0,0.9205069124423964,1,0,50.833333333333336,0.7000000000000001,1,0,1,1,0.9321520737327188,1,0.0891,1,1,0.9997722506523132,Crítico (75-100%),1,1,Q1 - Risco Crítico / Alto Desempenho,Sobrecarregado (Burnout),Nível de satisfação,4.034562110900879,Aumenta risco de saída,4730.47,63057.14,0.75,47292.86,7566.86
13,8,1,3,3,3,0.84,0.92,4,234,5,0,1,0,0.6631336405529954,0,0,58.5,0.08,0,0,1,1,0.5629400921658987,0,0.7728,0,0,0.9826315641403198,Crítico (75-100%),1,1,Q1 - Risco Crítico / Alto Desempenho,Padrão / Equilibrado,Tempo de casa (anos),1.4801734685897827,Aumenta risco de saída,4613.65,61499.91,0.75,46124.93,7379.99
14,8,1,2,4,2,0.41,0.55,2,148,3,0,1,0,0.3815668202764977,0,1,74.0,0.14,0,0,0,0,0.3504700460829493,0,0.2255,1,0,0.9972234964370728,Crítico (75-100%),1,0,Q2 - Risco Alto / Desempenho Regular,Subutilizado (Ocioso),Projetos em zona extrema (H7),2.032461643218994,Aumenta risco de saída,4744.21,63240.3,0.55,34782.16,7588.84
15,8,1,2,4,2,0.36,0.56,2,137,3,0,1,0,0.3638248847926267,0,1,68.5,0.2,0,0,0,0,0.365147465437788,0,0.2016,1,0,0.9970122575759888,Crítico (75-100%),1,0,Q2 - Risco Alto / Desempenho Regular,Subutilizado (Ocioso),Projetos em zona extrema (H7),1.9789395332336424,Aumenta risco de saída,4568.31,60895.59,0.55,33492.57,7307.47
16,8,1,2,4,2,0.38,0.54,2,143,3,0,1,0,0.3735023041474654,0,1,71.5,0.16,0,0,0,0,0.3600506912442396,0,0.2052,1,0,0.9968900084495544,Crítico (75-100%),1,0,Q2 - Risco Alto / Desempenho Regular,Subutilizado (Ocioso),Projetos em zona extrema (H7),2.340914487838745,Aumenta risco de saída,4214.56,56180.08,0.55,30899.04,6741.61
17,8,1,2,3,2,0.45,0.47,2,160,3,0,1,0,0.4009216589861751,0,0,80.0,0.0199999999999999,0,0,0,0,0.3402764976958525,0,0.2115,1,0,0.9933678507804872,Crítico (75-100%),1,0,Q2 - Risco Alto / Desempenho Regular,Padrão / Equilibrado,Projetos em zona extrema (H7),2.1314992904663086,Aumenta risco de saída,4541.98,60544.6,0.55,33299.53,7265.35
18,8,1,3,3,3,0.78,0.99,4,255,6,0,1,0,0.6970046082949308,0,0,63.75,0.2099999999999999,0,0,1,1,0.5971013824884792,1,0.7722,0,0,0.9860011339187622,Crítico (75-100%),1,1,Q1 - Risco Crítico / Alto Desempenho,Padrão / Equilibrado,Score de risco composto,1.350590705871582,Aumenta risco de saída,4402.57,58686.29,0.75,44014.72,7042.35
19,8,1,2,3,2,0.45,0.51,2,160,3,1,1,1,0.4009216589861751,0,0,80.0,0.06,0,0,0,0,0.3402764976958525,0,0.2295,1,0,0.9882320761680604,Crítico (75-100%),1,0,Q2 - Risco Alto / Desempenho Regular,Padrão / Equilibrado,Projetos em zona extrema (H7),2.0386669635772705,Aumenta risco de saída,4677.88,62356.09,0.55,34295.85,7482.73
20,8,1,3,3,3,0.76,0.89,5,262,5,0,1,0,0.7797235023041476,0,0,52.4,0.13,0,0,1,1,0.6299170506912443,1,0.6764,0,0,0.9851749539375304,Crítico (75-100%),1,1,Q1 - Risco Crítico / Alto Desempenho,Padrão / Equilibrado,Score de risco composto,1.6555613279342651,Aumenta risco de saída,4581.67,61073.72,0.75,45805.29,7328.85
21,8,1,3,2,1,0.11,0.83,6,282,4,0,1,0,0.883410138248848,1,0,47.0,0.72,1,0,1,1,0.9210230414746544,1,0.0912999999999999,1,1,0.9990288019180298,Crítico (75-100%),1,1,Q1 - Risco Crítico / Alto Desempenho,Sobrecarregado (Burnout),Nível de satisfação,4.409634113311768,Aumenta risco de saída,4469.42,59577.4,0.75,44683.05,7149.29
22,8,1,2,4,2,0.38,0.55,2,147,3,0,1,0,0.3799539170506912,0,1,73.5,0.17,0,0,0,0,0.3619861751152073,0,0.209,1,0,0.99650901556015,Crítico (75-100%),1,0,Q2 - Risco Alto / Desempenho Regular,Subutilizado (Ocioso),Projetos em zona extrema (H7),2.3396480083465576,Aumenta risco de saída,4262.11,56813.99,0.55,31247.69,6817.68
23,8,1,3,2,1,0.09,0.95,6,304,4,0,1,0,0.9188940092165898,1,0,50.66666666666666,0.86,1,0,1,1,0.939668202764977,1,0.0854999999999999,1,1,0.999830961227417,Crítico (75-100%),1,1,Q1 - Risco Crítico / Alto Desempenho,Sobrecarregado (Burnout),Nível de satisfação,3.95948338508606,Aumenta risco de saída,4851.07,64664.79,0.75,48498.59,7759.77
24,8,1,2,4,2,0.46,0.57,2,139,3,0,1,0,0.3670506912442396,0,1,69.5,0.1099999999999999,0,0,0,0,0.3261152073732719,0,0.2622,1,0,0.9943865537643432,Crítico (75-100%),1,0,Q2 - Risco Alto / Desempenho Regular,Subutilizado (Ocioso),Projetos em zona extrema (H7),2.1653223037719727,Aumenta risco de saída,4402.46,58684.84,0.55,32276.66,7042.18
25,8,1,2,3,2,0.4,0.53,2,158,3,0,1,0,0.3976958525345622,0,0,79.0,0.13,0,0,0,0,0.3593087557603686,0,0.212,1,0,0.995512068271637,Crítico (75-100%),1,0,Q2 - Risco Alto / Desempenho Regular,Padrão / Equilibrado,Projetos em zona extrema (H7),2.0641860961914062,Aumenta risco de saída,4329.46,57711.75,0.55,31741.46,6925.41
26,8,1,3,3,3,0.89,0.92,5,242,5,0,1,0,0.7474654377880184,0,0,48.4,0.03,0,0,1,1,0.5682396313364055,0,0.8188000000000001,0,0,0.9913086891174316,Crítico (75-100%),1,1,Q1 - Risco Crítico / Alto Desempenho,Padrão / Equilibrado,Score de risco composto,1.6115970611572266,Aumenta risco de saída,4498.35,59962.97,0.75,44972.23,7195.56
27,8,1,3,3,3,0.82,0.87,4,239,5,0,1,0,0.6711981566820276,0,0,59.75,0.05,0,0,1,1,0.5733594470046083,1,0.7133999999999999,0,0,0.993727445602417,Crítico (75-100%),1,1,Q1 - Risco Crítico / Alto Desempenho,Padrão / Equilibrado,Score de risco composto,1.5653645992279053,Aumenta risco de saída,4742.21,63213.68,0.75,47410.26,7585.64
28,8,1,2,4,2,0.4,0.49,2,135,3,0,1,0,0.3605990783410138,0,1,67.5,0.0899999999999999,0,0,0,0,0.3481797235023041,0,0.196,1,0,0.9972098469734192,Crítico (75-100%),1,0,Q2 - Risco Alto / Desempenho Regular,Subutilizado (Ocioso),Projetos em zona extrema (H7),2.0485992431640625,Aumenta risco de saída,4541.1,60532.84,0.55,33293.06,7263.94
29,3,1,2,4,2,0.41,0.46,2,128,3,0,1,0,0.3493087557603687,0,1,64.0,0.05,0,0,0,0,0.3407926267281106,0,0.1886,1,0,0.9985008239746094,Crítico (75-100%),1,0,Q2 - Risco Alto / Desempenho Regular,Subutilizado (Ocioso),Projetos em zona extrema (H7),2.33648681640625,Aumenta risco de saída,4994.39,66575.19,0.55,36616.35,7989.02
30,3,1,2,4,2,0.38,0.5,2,132,3,0,1,0,0.3557603686635944,0,1,66.0,0.12,0,0,0,0,0.3547281105990783,0,0.19,1,0,0.9966545104980468,Crítico (75-100%),1,0,Q2 - Risco Alto / Desempenho Regular,Subutilizado (Ocioso),Projetos em zona extrema (H7),2.04925537109375,Aumenta risco de saída,4999.68,66645.7,0.55,36655.14,7997.48
31,3,1,3,2,1,0.09,0.62,6,294,4,0,1,0,0.9027649769585252,1,0,49.0,0.53,0,0,1,1,0.9348294930875576,1,0.0557999999999999,1,1,0.9996079802513124,Crítico (75-100%),1,0,Q2 - Risco Alto / Desempenho Regular,Sobrecarregado (Burnout),Nível de satisfação,3.903789520263672,Aumenta risco de saída,5593.89,74566.52,0.55,41011.59,8947.98
32,4,1,2,4,2,0.45,0.57,2,134,3,0,1,0,0.3589861751152073,0,1,67.0,0.1199999999999999,0,0,0,0,0.3276958525345622,0,0.2565,1,0,0.9950873255729676,Crítico (75-100%),1,0,Q2 - Risco Alto / Desempenho Regular,Subutilizado (Ocioso),Projetos em zona extrema (H7),2.0549771785736084,Aumenta risco de saída,4055.61,54061.26,0.55,29733.69,6487.35
33,4,1,2,4,2,0.4,0.51,2,145,3,0,1,0,0.3767281105990783,0,1,72.5,0.1099999999999999,0,0,0,0,0.3530184331797235,0,0.204,1,0,0.995688498020172,Crítico (75-100%),1,0,Q2 - Risco Alto / Desempenho Regular,Subutilizado (Ocioso),Projetos em zona extrema (H7),1.9899942874908447,Aumenta risco de saída,4029.21,53709.41,0.55,29540.18,6445.13
34,4,1,2,4,2,0.45,0.55,2,140,3,0,1,0,0.368663594470046,0,1,70.0,0.1,0,0,0,0,0.3305990783410138,0,0.2475,1,0,0.9949854612350464,Crítico (75-100%),1,0,Q2 - Risco Alto / Desempenho Regular,Subutilizado (Ocioso),Projetos em zona extrema (H7),2.191606283187866,Aumenta risco de saída,3954.01,52706.9,0.55,28988.8,6324.83
35,4,1,3,3,3,0.84,0.87,4,246,6,0,1,0,0.6824884792626729,0,0,61.5,0.03,0,0,1,1,0.5687465437788018,0,0.7308,0,0,0.9899535775184632,Crítico (75-100%),1,1,Q1 - Risco Crítico / Alto Desempenho,Padrão / Equilibrado,Score de risco composto,1.3095042705535889,Aumenta risco de saída,4531.46,60404.36,0.75,45303.27,7248.52
36,10,1,3,2,1,0.1,0.94,6,255,4,0,1,0,0.8398617511520737,1,0,42.5,0.84,1,0,1,1,0.9119585253456222,1,0.094,1,0,0.9986388087272644,Crítico (75-100%),1,1,Q1 - Risco Crítico / Alto Desempenho,Sobrecarregado (Burnout),Nível de satisfação,4.391321182250977,Aumenta risco de saída,6226.71,83002.02,0.75,62251.52,9960.24
37,10,1,2,4,2,0.38,0.46,2,137,3,0,1,0,0.3638248847926267,0,1,68.5,0.08,0,0,0,0,0.357147465437788,0,0.1748,1,0,0.9969868063926696,Crítico (75-100%),1,0,Q2 - Risco Alto / Desempenho Regular,Subutilizado (Ocioso),Projetos em zona extrema (H7),2.0403711795806885,Aumenta risco de saída,5694.56,75908.47,0.55,41749.66,9109.02
38,10,1,2,4,2,0.45,0.5,2,126,3,0,1,0,0.3460829493087557,0,1,63.0,0.0499999999999999,0,0,0,0,0.3238248847926267,0,0.225,1,0,0.9877521991729736,Crítico (75-100%),1,0,Q2 - Risco Alto / Desempenho Regular,Subutilizado (Ocioso),Projetos em zona extrema (H7),2.0716350078582764,Aumenta risco de saída,5444.72,72578.18,0.55,39918.0,8709.38
39,10,1,3,2,1,0.11,0.89,6,306,4,0,1,0,0.9221198156682028,1,0,51.0,0.78,1,0,1,1,0.9326359447004609,1,0.0979,1,1,0.9998180270195008,Crítico (75-100%),1,1,Q1 - Risco Crítico / Alto Desempenho,Sobrecarregado (Burnout),Nível de satisfação,4.089529514312744,Aumenta risco de saída,5543.19,73890.77,0.75,55418.08,8866.89
40,10,1,2,3,2,0.41,0.54,2,152,3,0,1,0,0.3880184331797235,0,0,76.0,0.13,0,0,0,0,0.3524055299539171,0,0.2214,1,0,0.995557963848114,Crítico (75-100%),1,0,Q2 - Risco Alto / Desempenho Regular,Padrão / Equilibrado,Projetos em zona extrema (H7),1.9765832424163816,Aumenta risco de saída,5957.58,79414.55,0.55,43678.0,9529.75
41,10,1,3,3,3,0.87,0.88,5,269,5,0,1,0,0.7910138248847927,0,0,53.8,0.01,0,0,1,1,0.5893041474654378,1,0.7656,0,0,0.990293264389038,Crítico (75-100%),1,1,Q1 - Risco Crítico / Alto Desempenho,Padrão / Equilibrado,Score de risco composto,1.4630820751190186,Aumenta risco de saída,6194.03,82566.45,0.75,61924.84,9907.97
42,10,1,2,3,2,0.45,0.48,2,158,3,0,1,0,0.3976958525345622,0,0,79.0,0.0299999999999999,0,0,0,0,0.3393087557603687,0,0.216,1,0,0.996980607509613,Crítico (75-100%),1,0,Q2 - Risco Alto / Desempenho Regular,Padrão / Equilibrado,Projetos em zona extrema (H7),2.09470796585083,Aumenta risco de saída,5920.62,78921.85,0.55,43407.02,9470.62
43,10,1,2,4,2,0.4,0.46,2,127,3,0,1,0,0.3476958525345622,0,1,63.5,0.06,0,0,0,0,0.3443087557603687,0,0.184,1,0,0.9974064230918884,Crítico (75-100%),1,0,Q2 - Risco Alto / Desempenho Regular,Subutilizado (Ocioso),Projetos em zona extrema (H7),2.04604172706604,Aumenta risco de saída,5504.81,73379.09,0.55,40358.5,8805.49
44,10,1,3,2,1,0.1,0.8,7,281,4,0,1,0,0.9532258064516128,1,0,40.142857142857146,0.7000000000000001,1,0,1,1,0.945967741935484,1,0.08,1,1,0.9995972514152528,Crítico (75-100%),1,1,Q1 - Risco Crítico / Alto Desempenho,Sobrecarregado (Burnout),Nível de satisfação,4.136229038238525,Aumenta risco de saída,5912.91,78819.14,0.75,59114.36,9458.3
45,10,1,3,2,1,0.09,0.89,6,276,4,0,1,0,0.8737327188940092,1,0,46.0,0.8,1,0,1,1,0.9261198156682028,1,0.0801,1,0,0.9989401698112488,Crítico (75-100%),1,1,Q1 - Risco Crítico / Alto Desempenho,Sobrecarregado (Burnout),Nível de satisfação,4.444974899291992,Aumenta risco de saída,5872.51,78280.54,0.75,58710.4,9393.66
46,10,1,3,3,3,0.84,0.74,3,182,4,0,1,0,0.5078341013824884,0,0,60.66666666666666,-0.0999999999999999,0,0,1,1,0.5163502304147466,0,0.6215999999999999,0,0,0.5345049500465393,Alto (50-75%),1,1,Q1 - Risco Crítico / Alto Desempenho,Padrão / Equilibrado,Projetos em zona extrema (H7),-0.5226736664772034,Reduz risco de saída,5908.2,78756.3,0.75,59067.23,9450.76
47,9,1,2,4,2,0.4,0.55,2,147,3,0,1,0,0.3799539170506912,0,1,73.5,0.15,0,0,0,0,0.3539861751152073,0,0.22,1,0,0.9956667423248292,Crítico (75-100%),1,0,Q2 - Risco Alto / Desempenho Regular,Subutilizado (Ocioso),Projetos em zona extrema (H7),2.0012056827545166,Aumenta risco de saída,3469.29,46245.68,0.55,25435.12,5549.48
48,9,1,3,3,2,0.57,0.7,3,273,6,0,1,0,0.6546082949308756,0,0,91.0,0.13,0,0,1,1,0.6683824884792627,1,0.3989999999999999,0,0,0.538520097732544,Alto (50-75%),1,1,Q1 - Risco Crítico / Alto Desempenho,Padrão / Equilibrado,Score de risco composto,0.8052446246147156,Aumenta risco de saída,3512.32,46819.23,0.75,35114.42,5618.31
49,9,1,2,4,2,0.4,0.54,2,148,3,0,1,0,0.3815668202764977,0,1,74.0,0.14,0,0,0,0,0.3544700460829493,0,0.216,1,0,0.9968388080596924,Crítico (75-100%),1,0,Q2 - Risco Alto / Desempenho Regular,Subutilizado (Ocioso),Projetos em zona extrema (H7),2.3689212799072266,Aumenta risco de saída,3431.21,45738.04,0.55,25155.92,5488.56
50,9,1,2,4,2,0.43,0.47,2,147,3,0,1,0,0.3799539170506912,0,1,73.5,0.0399999999999999,0,0,0,0,0.3419861751152074,0,0.2020999999999999,1,0,0.9975469708442688,Crítico (75-100%),1,0,Q2 - Risco Alto / Desempenho Regular,Subutilizado (Ocioso),Projetos em zona extrema (H7),2.189581632614136,Aumenta risco de saída,3310.28,44126.03,0.55,24269.32,5295.12
51,9,1,1,5,1,0.13,0.78,6,152,2,0,1,0,0.6737327188940092,0,0,25.33333333333333,0.65,1,0,0,0,0.5501198156682028,0,0.1014,1,0,0.8246474862098694,Crítico (75-100%),1,1,Q1 - Risco Crítico / Alto Desempenho,Estrela Insatisfeita,Projetos em zona extrema (H7),0.9874567985534668,Aumenta risco de saída,3296.82,43946.66,0.75,32960.0,5273.6
52,9,1,2,4,2,0.44,0.55,2,135,3,0,1,0,0.3605990783410138,0,1,67.5,0.11,0,0,0,0,0.3321797235023042,0,0.242,1,0,0.996743381023407,Crítico (75-100%),1,0,Q2 - Risco Alto / Desempenho Regular,Subutilizado (Ocioso),Projetos em zona extrema (H7),2.115727663040161,Aumenta risco de saída,3421.79,45612.46,0.55,25086.85,5473.5
53,9,1,2,4,2,0.38,0.55,2,134,3,0,1,0,0.3589861751152073,0,1,67.0,0.17,0,0,0,0,0.3556958525345622,0,0.209,1,0,0.9961299896240234,Crítico (75-100%),1,0,Q2 - Risco Alto / Desempenho Regular,Subutilizado (Ocioso),Projetos em zona extrema (H7),2.050475835800171,Aumenta risco de saída,3008.67,40105.51,0.55,22058.03,4812.66
54,9,1,2,4,2,0.39,0.54,2,132,3,0,1,0,0.3557603686635944,0,1,66.0,0.15,0,0,0,0,0.3507281105990783,0,0.2106,1,0,0.9975013136863708,Crítico (75-100%),1,0,Q2 - Risco Alto / Desempenho Regular,Subutilizado (Ocioso),Projetos em zona extrema (H7),2.0787429809570312,Aumenta risco de saída,3233.68,43104.91,0.55,23707.7,5172.59
55,9,1,3,2,1,0.1,0.92,7,307,4,0,1,0,0.9951612903225806,1,0,43.85714285714285,0.8200000000000001,1,0,1,1,0.9585483870967744,1,0.092,1,1,0.999904990196228,Crítico (75-100%),1,1,Q1 - Risco Crítico / Alto Desempenho,Sobrecarregado (Burnout),Nível de satisfação,3.7377870082855225,Aumenta risco de saída,3258.58,43436.88,0.75,32577.66,5212.43
56,9,1,2,4,2,0.37,0.46,2,140,3,0,1,0,0.368663594470046,0,1,70.0,0.09,0,0,0,0,0.3625990783410138,0,0.1702,1,0,0.9960525035858154,Crítico (75-100%),1,0,Q2 - Risco Alto / Desempenho Regular,Subutilizado (Ocioso),Projetos em zona extrema (H7),2.000274658203125,Aumenta risco de saída,3170.53,42263.2,0.55,23244.76,5071.58
57,9,1,3,2,1,0.11,0.94,7,255,4,0,1,0,0.9112903225806452,1,0,36.42857142857143,0.83,1,0,1,1,0.9293870967741936,1,0.1033999999999999,1,0,0.999415636062622,Crítico (75-100%),1,1,Q1 - Risco Crítico / Alto Desempenho,Sobrecarregado (Burnout),Nível de satisfação,4.206616401672363,Aumenta risco de saída,3297.86,43960.46,0.75,32970.34,5275.26
58,10,1,3,2,1,0.1,0.81,6,309,4,0,1,0,0.926958525345622,1,0,51.5,0.7100000000000001,1,0,1,1,0.9380875576036868,1,0.081,1,1,0.9998005032539368,Crítico (75-100%),1,1,Q1 - Risco Crítico / Alto Desempenho,Sobrecarregado (Burnout),Nível de satisfação,4.045181751251221,Aumenta risco de saída,6354.76,84708.97,0.75,63531.73,10165.08
59,10,1,2,4,2,0.38,0.54,2,128,3,0,1,0,0.3493087557603687,0,1,64.0,0.16,0,0,0,0,0.3527926267281106,0,0.2052,1,0,0.9980469942092896,Crítico (75-100%),1,0,Q2 - Risco Alto / Desempenho Regular,Subutilizado (Ocioso),Projetos em zona extrema (H7),2.299524307250977,Aumenta risco de saída,5435.89,72460.44,0.55,39853.24,8695.25
60,10,1,3,3,3,0.85,1.0,4,225,5,0,1,0,0.6486175115207373,0,0,56.25,0.15,0,0,1,1,0.5545852534562212,0,0.85,0,0,0.9957749247550964,Crítico (75-100%),1,1,Q1 - Risco Crítico / Alto Desempenho,Padrão / Equilibrado,Tempo de casa (anos),1.4781721830368042,Aumenta risco de saída,6274.09,83633.62,0.75,62725.22,10036.03
61,5,2,3,3,3,0.85,0.91,5,226,5,0,1,0,0.7216589861751153,0,0,45.2,0.06,0,0,1,1,0.5764976958525346,0,0.7735,0,0,0.9803865551948548,Crítico (75-100%),1,1,Q1 - Risco Crítico / Alto Desempenho,Padrão / Equilibrado,Score de risco composto,1.5957989692687988,Aumenta risco de saída,13719.16,182876.46,1.15,210307.93,21945.18
62,1,2,3,2,1,0.11,0.93,7,308,4,0,1,0,0.9967741935483873,1,0,44.0,0.8200000000000001,1,0,1,1,0.9550322580645162,0,0.1023,1,1,0.9999455213546752,Crítico (75-100%),1,1,Q1 - Risco Crítico / Alto Desempenho,Sobrecarregado (Burnout),Nível de satisfação,3.786484479904175,Aumenta risco de saída,9979.37,133025.03,1.15,152978.78,15963.0
63,1,2,3,5,1,0.1,0.95,6,244,5,0,1,0,0.8221198156682028,0,0,40.66666666666666,0.85,1,0,1,1,0.9066359447004608,0,0.095,1,0,0.9980729818344116,Crítico (75-100%),1,1,Q1 - Risco Crítico / Alto Desempenho,Estrela Insatisfeita,Nível de satisfação,4.430050849914551,Aumenta risco de saída,10456.12,139380.06,1.15,160287.07,16725.61
64,1,2,2,4,2,0.36,0.56,2,132,3,0,1,0,0.3557603686635944,0,1,66.0,0.2,0,0,0,0,0.3627281105990783,0,0.2016,1,0,0.9967846870422364,Crítico (75-100%),1,0,Q2 - Risco Alto / Desempenho Regular,Subutilizado (Ocioso),Projetos em zona extrema (H7),2.1010971069335938,Aumenta risco de saída,10365.19,138167.99,0.95,131259.59,16580.16
65,1,2,3,2,1,0.11,0.94,6,286,4,0,1,0,0.8898617511520737,1,0,47.66666666666666,0.83,1,0,1,1,0.9229585253456222,0,0.1033999999999999,1,1,0.9987974166870116,Crítico (75-100%),1,1,Q1 - Risco Crítico / Alto Desempenho,Sobrecarregado (Burnout),Nível de satisfação,4.533064842224121,Aumenta risco de saída,10618.59,141545.78,1.15,162777.65,16985.49
66,1,2,3,3,3,0.81,0.7,6,161,4,0,1,0,0.6882488479262673,0,0,26.83333333333333,-0.1100000000000001,0,0,1,1,0.5824746543778802,0,0.567,1,0,0.7549926042556763,Crítico (75-100%),1,1,Q1 - Risco Crítico / Alto Desempenho,Padrão / Equilibrado,Projetos em zona extrema (H7),0.7299606800079346,Aumenta risco de saída,10668.77,142214.66,1.15,163546.86,17065.76
